"cohort","tau","rmst_low","rmst_high","diff_high_minus_low","ci_low","ci_high"
"GSE14520",60,53.616193316627,35.7638778508285,-17.8523154657984,-23.1761618074637,-13.2151747385923
"TCGA-LIHC",60,45.0809109963475,36.8995720529072,-8.18133894344036,-13.0125932397274,-2.80526711262621
