"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Gamma_delta_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"SLC27A5",0.34784483794631,0.532766448640501,0.257691253760665,0.388665842251039,0.223975570374372,0.391020704390162,0.274955419895356,0.387039219590697,0.228471239169967,0.312942320278233,0.215542465286975,0.439002356135261,0.579030076320143,-0.0337139958128417,0.40567480699448,-0.328999123768755,0.385314362965743,0.29150978783002,0.652571649217349,0.664656443057697,0.397563384448696,0.273033401925766,0.148144541978658,0.53217842672222,0.58012865054082,0.151868774369374
"NDRG1",-0.245830053735542,-0.401729482881293,-0.204068731961946,-0.277223408589207,-0.178328170065072,-0.290260001803806,-0.230260533575124,-0.363597714089792,-0.222681649828204,-0.223217960672747,-0.212503819773245,-0.34867414283204,-0.441478706746109,-0.0152182955495436,-0.286382852194586,0.217694780877532,-0.316718100733588,-0.275479380813707,-0.487819778642983,-0.537310297205583,-0.373017568744405,-0.256654549401244,-0.0974673895988519,-0.413575897442079,-0.427700503351417,-0.129011741456524
"PKM",-0.210027918670876,-0.413653100565076,-0.0622968196749131,-0.148456200664161,-0.0131392120530845,-0.133330711926468,-0.0501561609530284,-0.259647566924225,-0.300429911021903,-0.270948500116925,-0.222536141013086,-0.434222515713945,-0.629020773065058,0.174018323090066,-0.255556492529447,0.307128665795852,-0.162241862497981,-0.246816819320556,-0.46857863719845,-0.399272460514275,-0.258872227900656,-0.210636638902779,-0.0470007700808348,-0.491683020962483,-0.506559696913636,0.0300140183983997
"G6PD",-0.219255150039532,-0.409421678639728,-0.188424348762164,-0.332201769900533,-0.205752414922803,-0.326531311194818,-0.233670326198738,-0.36123134798378,-0.16824021652172,-0.213592297793059,-0.117882449346739,-0.291680782272157,-0.497880197993499,0.0169212275859883,-0.383527145776797,0.292300549818613,-0.285064837817933,-0.226615553490814,-0.520818805648848,-0.540996195687517,-0.345581246456904,-0.233058177220789,-0.115352194765985,-0.473593618684943,-0.485994101421665,-0.156383669496198
"ENO1",-0.340481365201471,-0.447903623465201,-0.206327258082066,-0.307676097397309,-0.222656490703504,-0.264710012719961,-0.20593726729701,-0.380255391189515,-0.303539952828975,-0.398755069615413,-0.255279385917384,-0.43297812936853,-0.324285627959223,-0.120744495744577,-0.451415846268135,0.0887181116065685,-0.0893212151286645,-0.255408916379697,-0.215084037192384,-0.302449249125058,-0.244957537986232,-0.122637133141693,-0.201770661200715,-0.443307926220526,-0.261369346511274,-0.163869683022299
"CNIH4",-0.510257007253077,-0.650460045165219,-0.394338045943065,-0.503623414750832,-0.379374445482767,-0.491238473978868,-0.404665342300047,-0.501150934739988,-0.386020284394963,-0.344515071551354,-0.389645238165954,-0.615886885933334,-0.457066423853817,-0.217060595532725,-0.512399349386728,0.150670762100136,-0.398687294621788,-0.490354358218861,-0.542304498563761,-0.627170960295479,-0.457411036335305,-0.366502547208937,-0.272940036909477,-0.604211541264965,-0.555986915159397,-0.268290127947547
"FADS1",-0.27238216623654,-0.387624856409894,-0.29162021188657,-0.391884153729071,-0.309232262673455,-0.394905702405941,-0.325415699682741,-0.390357896730799,-0.144095045576594,-0.20360026843215,-0.22157622787431,-0.342694283986402,-0.368954160663151,-0.121680091216767,-0.38713559453021,0.0286369958379551,-0.346939338282243,-0.302105929493413,-0.417522584268348,-0.522483453217341,-0.402690141300607,-0.226099506712441,-0.138802634982927,-0.364676434075786,-0.355092503983009,-0.249470765365449
"GJA1",-0.350646486952057,-0.49203612750049,-0.176082996360484,-0.216114712804424,-0.114155137971566,-0.240745588264569,-0.157428264242446,-0.312877612757976,-0.386948601411665,-0.258947873924798,-0.314500776142559,-0.473103981714307,-0.523414856563446,0.0207700266192114,-0.314297759151176,0.355487376999844,-0.16046180622752,-0.252375813317602,-0.378034628869635,-0.350960560834466,-0.261588630199562,-0.234120169058421,-0.0199767607101854,-0.505483936431618,-0.478164488787453,-0.0359327914668353
"BGN",0.338903084391075,0.525222542937874,0.381450454575631,0.628714451310299,0.513701055906158,0.56704943276864,0.470007168353358,0.426596774266093,0.147532649461449,0.233854318181338,0.239829360460915,0.398159623261078,0.249715645344682,0.352021381412144,0.558940049874223,0.0880373138482268,0.515832456495822,0.42445672450592,0.512587124735055,0.655910942699552,0.504719602698394,0.383995983596002,0.368466980091482,0.33625762071973,0.356604338141095,0.462693498467829
