"Dataset","Sample_N","Events","Genes_Used_N","Missing_Model_Genes","AUC_1y","AUC_3y","AUC_5y","Logrank_P_median","Logrank_P_traincut","C_index","Scaling"
"TCGA-LIHC",370,130,9,"",0.716604858979222,0.623114290178089,0.59003794726313,0.00421792149142064,0.668862406452831,0.633394880706709,"Train-frozen"
"GSE76427",115,23,9,"",0.443368521751641,0.483651483708263,NA,0.397704708117827,NA,0.530954115076475,"Train-frozen"
"GSE10143-HCC",82,32,6,"SLC27A5;CNIH4;FADS1",NA,0.56194877138089,0.472333142788516,0.708991567577355,NA,0.518994739918176,"Train-frozen"
"GSE27150",81,28,4,"SLC27A5;NDRG1;G6PD;FADS1;BGN",0.508717948717949,0.539891931177997,NA,0.643689849336039,NA,0.505160550458716,"Train-frozen"
"ICGC-LIRI-JP (HCCDB18)",203,35,9,"",0.624940932490182,0.688970642094186,NA,0.0570740146173565,NA,0.617941529835803,"Train-frozen"
