"Dataset","Model","Model_class","Genes_Used_N","Genes_Total_N","Gene_Coverage","Genes_Used","Missing_Genes","Benchmark_Interpretation"
"GSE10143-HCC","Cell-cycle metagene baseline","Proliferation baseline",11,13,0.846153846153846,"MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDC20;BIRC5;AURKA;CCNA2;MCM2;MCM6","CDK1;AURKB","Near-complete formula coverage"
"GSE27150","Current nine-gene score","Current model",4,9,0.444444444444444,"PKM;ENO1;CNIH4;GJA1","SLC27A5;NDRG1;G6PD;FADS1;BGN","Low formula coverage; sensitivity only"
"GSE27150","Liang 2020 10-FRG","Published ferroptosis signature",2,10,0.2,"SLC7A11;NQO1","G6PD;CISD1;CARS1;SLC1A5;ACACA;ACSL3;NFS1;GPX4","Low formula coverage; sensitivity only"
"GSE27150","Zhang 2022 5-FRG","Published ferroptosis signature",2,5,0.4,"SLC7A11;TFRC","SLC1A5;CARS1;RPL8","Low formula coverage; sensitivity only"
"GSE27150","Xu 2022 13-FRG/PRG","Published ferroptosis/pyroptosis signature",4,13,0.307692307692308,"FLT3;MKI67;NRAS;SLC7A11","ATG3;G6PD;GLMN;HILPDA;LRPPRC;PRDX6;SLC1A5;SQSTM1;UBE2D2","Low formula coverage; sensitivity only"
"GSE27150","MKI67 single-gene baseline","Proliferation baseline",1,1,1,"MKI67","","Complete formula coverage"
"GSE27150","Cell-cycle metagene baseline","Proliferation baseline",12,13,0.923076923076923,"MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;AURKA;AURKB;CCNA2;MCM2;MCM6","CDC20","Near-complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","Current nine-gene score","Current model",9,9,1,"SLC27A5;NDRG1;PKM;G6PD;ENO1;CNIH4;FADS1;GJA1;BGN","","Complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","Liang 2020 10-FRG","Published ferroptosis signature",10,10,1,"SLC7A11;G6PD;CISD1;CARS1;SLC1A5;ACACA;ACSL3;NQO1;NFS1;GPX4","","Complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","Zhang 2022 5-FRG","Published ferroptosis signature",5,5,1,"SLC7A11;SLC1A5;TFRC;CARS1;RPL8","","Complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","Xu 2022 13-FRG/PRG","Published ferroptosis/pyroptosis signature",13,13,1,"ATG3;FLT3;G6PD;GLMN;HILPDA;LRPPRC;MKI67;NRAS;PRDX6;SLC1A5;SLC7A11;SQSTM1;UBE2D2","","Complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","Liu 2019 6-gene HCC","Published general HCC signature",6,6,1,"CSE1L;CSTB;MTHFR;DAGLA;MMP10;GYS2","","Complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","MKI67 single-gene baseline","Proliferation baseline",1,1,1,"MKI67","","Complete formula coverage"
"ICGC-LIRI-JP (HCCDB18)","Cell-cycle metagene baseline","Proliferation baseline",13,13,1,"MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;CDC20;BIRC5;AURKA;AURKB;CCNA2;MCM2;MCM6","","Complete formula coverage"
