"Dataset","N_total","N_landmark","Events_3y","Predicted_risk_3y_mean","Observed_event_3y","Calibration_intercept","Calibration_intercept_SE","Calibration_slope","Calibration_slope_SE","Calibration_slope_P","Brier_3y_landmark","Brier_3y_IPCW"
"GSE14520",221,203,67,0.327145277457686,0.330049261083744,0.0158347320093199,0.163719845078144,1.03349628854615,0.196502721416539,1.44486707369875e-07,0.177308429613783,0.175401342447163
"TCGA-LIHC",370,195,105,0.340826468142259,0.538461538461538,1.03583302397819,0.158742035459603,0.312238425604595,0.1242391071222,0.0119639571333289,0.27906034936524,0.233523753691959
"GSE76427",115,48,18,0.32010146198769,0.375,0.276366697746769,0.318633619327992,-0.0204438062068881,0.387026988725508,0.957873183636607,0.266657438016635,0.219852681169462
"GSE10143-HCC",82,77,10,0.631320891424376,0.12987012987013,-2.64833820394154,0.35382116349223,0.160712286125026,0.492049369105713,0.743956665704417,0.373440426307189,0.374323734278457
"GSE27150",81,68,26,0.303075574550613,0.382352941176471,0.368965610063749,0.255240102511227,0.892152583742379,0.58958039697163,0.130229067951456,0.231736055592843,0.216043402701962
"ICGC-LIRI-JP (HCCDB18)",203,82,30,0.357065269922805,0.365853658536585,0.0513410828371371,0.266237989770836,0.60916761352797,0.20396529649703,0.00282076580871575,0.206541489525974,0.16817403756695
