"Dataset","N_landmark","Events_3y","Fixed_threshold_source","Fixed_threshold","NetBenefit_Model","NetBenefit_Model_boot_mean","NetBenefit_Model_CI95_L","NetBenefit_Model_CI95_U","NetBenefit_All","NetBenefit_None"
"GSE14520",203,67,"Discovery median transported 3-year risk",0.293374345813228,0.146926108132313,0.146120042258637,0.0680710515979986,0.226313894317447,0.0519014771869891,0
"TCGA-LIHC",195,105,"Discovery median transported 3-year risk",0.293374345813228,0.20405248855437,0.204579346273792,0.137779607703795,0.271769336249,0.346841628514566,0
"GSE76427",48,18,"Discovery median transported 3-year risk",0.293374345813228,0.0750563722880613,0.0753177366590499,-0.0526291056847312,0.220040869908844,0.115514705280141,0
"GSE10143-HCC",77,10,"Discovery median transported 3-year risk",0.293374345813228,-0.231387319402193,-0.229181849576398,-0.323281895476983,-0.111464897624591,-0.231387319402193,0
"GSE27150",68,26,"Discovery median transported 3-year risk",0.293374345813228,0.0776660896678346,0.0867821969379075,-0.0332762546593098,0.202534601863579,0.125920414629787,0
"ICGC-LIRI-JP (HCCDB18)",82,30,"Discovery median transported 3-year risk",0.293374345813228,0.159898134640443,0.160201018427203,0.0588570657077753,0.277815064384978,0.102571018040339,0
