"Gene","Selected_N","Bootstrap_N","Selection_proportion","In_final_model"
"CNIH4",167,200,0.835,TRUE
"NDRG1",133,200,0.665,TRUE
"FADS1",130,200,0.65,TRUE
"GJA1",113,200,0.565,TRUE
"SLC27A5",106,200,0.53,TRUE
"G6PD",90,200,0.45,TRUE
"BGN",87,200,0.435,TRUE
"PKM",83,200,0.415,TRUE
"ENO1",66,200,0.33,TRUE
"NT5DC2",114,200,0.57,FALSE
"HLF",106,200,0.53,FALSE
"HBA1",90,200,0.45,FALSE
"SLC38A2",80,200,0.4,FALSE
"ASNS",69,200,0.345,FALSE
"CBS",63,200,0.315,FALSE
"PPARGC1A",63,200,0.315,FALSE
"CXCL2",58,200,0.29,FALSE
"RBM3",56,200,0.28,FALSE
"STMN1",47,200,0.235,FALSE
"ASL",39,200,0.195,FALSE
"HELLS",39,200,0.195,FALSE
"MAPK1",38,200,0.19,FALSE
"NQO1",37,200,0.185,FALSE
"NEAT1",36,200,0.18,FALSE
"DKK1",35,200,0.175,FALSE
"NEDD4L",35,200,0.175,FALSE
"HSPH1",32,200,0.16,FALSE
"PARP12",31,200,0.155,FALSE
"ANXA10",30,200,0.15,FALSE
"CCT3",27,200,0.135,FALSE
"KIF20A",27,200,0.135,FALSE
"ENPP2",26,200,0.13,FALSE
"FEN1",25,200,0.125,FALSE
"ZFP36",25,200,0.125,FALSE
"ACSL3",24,200,0.12,FALSE
"IRF8",24,200,0.12,FALSE
"RAB26",24,200,0.12,FALSE
"ZEB1",24,200,0.12,FALSE
"MMD",23,200,0.115,FALSE
"ANGPTL4",22,200,0.11,FALSE
"CYP2E1",22,200,0.11,FALSE
"NR4A1",22,200,0.11,FALSE
"TSC22D3",22,200,0.11,FALSE
"E2F3",21,200,0.105,FALSE
"HAMP",21,200,0.105,FALSE
"HSPA14",21,200,0.105,FALSE
"LCN2",20,200,0.1,FALSE
"STEAP3",20,200,0.1,FALSE
"ACSL4",19,200,0.095,FALSE
"HSPB1",19,200,0.095,FALSE
"TXNIP",19,200,0.095,FALSE
"CDK1",18,200,0.09,FALSE
"DHODH",18,200,0.09,FALSE
"PCK2",18,200,0.09,FALSE
"ANO1",17,200,0.085,FALSE
"CDKN2A",17,200,0.085,FALSE
"HJURP",17,200,0.085,FALSE
"ACSL1",16,200,0.08,FALSE
"ALB",16,200,0.08,FALSE
"SQLE",16,200,0.08,FALSE
"ZC3H13",16,200,0.08,FALSE
"ACACA",15,200,0.075,FALSE
"CDO1",15,200,0.075,FALSE
"HSPA4",15,200,0.075,FALSE
"PHGDH",15,200,0.075,FALSE
"HPX",14,200,0.07,FALSE
"SCP2",14,200,0.07,FALSE
"CENPA",13,200,0.065,FALSE
"ENO3",13,200,0.065,FALSE
"FOXM1",13,200,0.065,FALSE
"HMGCL",13,200,0.065,FALSE
"HSPA13",13,200,0.065,FALSE
"NNMT",13,200,0.065,FALSE
"TFR2",13,200,0.065,FALSE
"IGF2BP2",12,200,0.06,FALSE
"AR",11,200,0.055,FALSE
"GCH1",11,200,0.055,FALSE
"GSTZ1",11,200,0.055,FALSE
"PDGFRA",11,200,0.055,FALSE
"PIR",11,200,0.055,FALSE
"PNO1",11,200,0.055,FALSE
"AKR1C3",10,200,0.05,FALSE
"HMGB2",10,200,0.05,FALSE
"MAPK9",10,200,0.05,FALSE
"MELK",10,200,0.05,FALSE
"SATB1",10,200,0.05,FALSE
"ACTL6A",9,200,0.045,FALSE
"GLS2",9,200,0.045,FALSE
"IGF2BP3",9,200,0.045,FALSE
"PER1",9,200,0.045,FALSE
"ASS1",8,200,0.04,FALSE
"AQP3",7,200,0.035,FALSE
"DUSP1",7,200,0.035,FALSE
"GABARAPL1",7,200,0.035,FALSE
"HDAC6",7,200,0.035,FALSE
"MT1G",7,200,0.035,FALSE
"PDK4",7,200,0.035,FALSE
"SLC47A1",7,200,0.035,FALSE
"SOCS2",7,200,0.035,FALSE
"ACADSB",6,200,0.03,FALSE
"ALDH2",6,200,0.03,FALSE
"EMC2",6,200,0.03,FALSE
"ESR1",6,200,0.03,FALSE
"MTTP",6,200,0.03,FALSE
"NPC1",6,200,0.03,FALSE
"NRAS",6,200,0.03,FALSE
"POLE2",6,200,0.03,FALSE
"EZH2",5,200,0.025,FALSE
"GLS",5,200,0.025,FALSE
"GMFB",5,200,0.025,FALSE
"MPC1",5,200,0.025,FALSE
"RRM2",5,200,0.025,FALSE
"TRIM16",5,200,0.025,FALSE
"MAT1A",4,200,0.02,FALSE
"ME1",4,200,0.02,FALSE
"TF",4,200,0.02,FALSE
"EGR1",3,200,0.015,FALSE
"PARP1",3,200,0.015,FALSE
"AURKA",2,200,0.01,FALSE
"CAPG",2,200,0.01,FALSE
"TFRC",2,200,0.01,FALSE
"RRM1",1,200,0.005,FALSE
"SLC1A4",1,200,0.005,FALSE
"SQSTM1",1,200,0.005,FALSE
"TXNRD1",0,200,0,FALSE
