"cohort","term","chisq","df","p"
"GSE14520","risk_score",4.95121012672611,1,0.0260724126522082
"GSE14520","GLOBAL",4.95121012672611,1,0.0260724126522082
"TCGA-LIHC","risk_score",9.97773724339961,1,0.00158444275808348
"TCGA-LIHC","GLOBAL",9.97773724339961,1,0.00158444275808348
