"iCluster","n","median_risk","iqr_risk","high_n","low_n","kruskal_p","chisq_p"
"iCluster1",65,0.478325310048966,1.51079823717997,46,19,1.8905273306475e-07,9.49530389663306e-06
"iCluster2",55,-0.499483662016528,0.622649598764211,16,39,1.8905273306475e-07,9.49530389663306e-06
"iCluster3",63,-0.293243410953538,0.684657988664066,25,38,1.8905273306475e-07,9.49530389663306e-06
