"Model","Model_class","Citation","DOI","Genes","Coefficients","Formula_source"
"Current nine-gene score","Current model","This study",NA,"SLC27A5;NDRG1;PKM;G6PD;ENO1;CNIH4;FADS1;GJA1;BGN","-0.171652797959394;0.175124857356296;-0.0479586539991184;0.1190431371826;0.150068533974517;0.371999408628468;0.268099501373384;0.181430443418102;0.308814052397708","Current analysis definition"
"Liang 2020 10-FRG","Published ferroptosis signature","Liang et al. 2020, Int J Biol Sci","10.7150/ijbs.45050","SLC7A11;G6PD;CISD1;CARS1;SLC1A5;ACACA;ACSL3;NQO1;NFS1;GPX4","0.105;0.116;0.106;0.076;0.077;0.092;0.005;0.006;0.087;0.135","PMC7378635 text; linear predictor used because exponentiation is monotonic"
"Zhang 2022 5-FRG","Published ferroptosis signature","Zhang et al. 2022, Front Mol Biosci","10.3389/fmolb.2022.940575","SLC7A11;SLC1A5;TFRC;CARS1;RPL8","0.1668;0.1507;0.0221;0.1515;0.0234","Frontiers full text, TCGA model formula"
"Xu 2022 13-FRG/PRG","Published ferroptosis/pyroptosis signature","Xu et al. 2022, BMC Cancer","10.1186/s12885-022-09301-0","ATG3;FLT3;G6PD;GLMN;HILPDA;LRPPRC;MKI67;NRAS;PRDX6;SLC1A5;SLC7A11;SQSTM1;UBE2D2","0.0599818988151381;-0.321132320389413;0.0881814324303116;0.130781902193193;0.119282064768739;0.00792886569542188;0.0165502840606549;0.0916391974243284;0.114398632925529;0.0521211560497305;0.0616722848553423;0.00940765304518399;0.04686256927426","PMC8892773 text"
"Liu 2019 6-gene HCC","Published general HCC signature","Liu et al. 2019, Cancer Cell Int","10.1186/s12935-019-0858-2","CSE1L;CSTB;MTHFR;DAGLA;MMP10;GYS2","0.0606;0.0257;0.1177;0.1912;0.4324;-0.1003","Springer full text"
"MKI67 single-gene baseline","Proliferation baseline","Single-gene proliferation marker",NA,"MKI67","1","Current analysis definition"
"Cell-cycle metagene baseline","Proliferation baseline","Cell-cycle metagene baseline",NA,"MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;CDC20;BIRC5;AURKA;AURKB;CCNA2;MCM2;MCM6","1;1;1;1;1;1;1;1;1;1;1;1;1","Current analysis definition"
